City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Shiguai,40.7058,110.2856,47.3,40,29,5.19,CN,2023-10-30 21:14:31
1,Puerto Natales,-51.7236,-72.4875,44.8,49,96,5.26,CL,2023-10-30 21:14:32
2,Maintirano,-18.0667,44.0167,78.08,73,8,13.96,MG,2023-10-30 21:09:32
3,Cascais,38.6979,-9.4215,62.06,80,100,11.99,PT,2023-10-30 21:12:14
4,Cabo San Lucas,22.8909,-109.9124,89.62,68,40,9.22,MX,2023-10-30 21:12:00
5,Lompoc,34.6391,-120.4579,80.78,32,0,10.36,US,2023-10-30 21:14:32
6,Edinburgh Of The Seven Seas,-37.0676,-12.3116,55.29,92,99,27.27,SH,2023-10-30 21:11:36
7,Port-Aux-Francais,-49.35,70.2167,37.45,83,100,36.86,TF,2023-10-30 21:14:06
8,Alice Springs,-23.7,133.8833,63.95,22,71,5.75,AU,2023-10-30 21:14:32
9,Guines,50.8671,1.8703,50.94,91,100,13.65,FR,2023-10-30 21:14:32
10,Blackmans Bay,-43.0167,147.3167,48.33,71,38,3.0,AU,2023-10-30 21:11:18
11,Avarua,-21.2078,-159.775,77.05,69,75,14.97,CK,2023-10-30 21:10:46
12,Adamstown,-25.066,-130.1015,73.15,75,100,9.53,PN,2023-10-30 21:14:05
13,Turpan,42.9333,89.1667,56.8,38,11,1.01,CN,2023-10-30 21:14:33
14,Porto Novo,6.4965,2.6036,82.22,81,100,4.83,BJ,2023-10-30 21:14:33
15,Bethel,41.3712,-73.414,56.01,88,100,5.75,US,2023-10-30 21:14:34
16,Nguigmi,14.2495,13.1092,85.73,12,8,11.5,NE,2023-10-30 21:11:59
17,Ilulissat,69.2167,-51.1,37.42,52,2,21.85,GL,2023-10-30 21:11:51
18,Saudarkrokur,65.7461,-19.6394,29.97,81,47,7.38,IS,2023-10-30 21:10:58
19,Longyearbyen,78.2186,15.6401,33.64,69,75,8.05,SJ,2023-10-30 21:14:35
20,Grytviken,-54.2811,-36.5092,40.37,76,26,9.37,GS,2023-10-30 21:14:35
21,Ribeira Grande,38.5167,-28.7,66.78,77,40,18.99,PT,2023-10-30 21:11:50
22,Ust-Nera,64.5667,143.2,-0.99,100,88,4.29,RU,2023-10-30 21:09:58
23,Waitangi,-43.9535,-176.5597,57.81,83,97,15.99,NZ,2023-10-30 21:14:36
24,Hillvue,-31.1244,150.915,66.11,52,16,2.3,AU,2023-10-30 21:14:37
25,Invercargill,-46.4,168.35,51.03,91,99,3.0,NZ,2023-10-30 21:10:22
26,Weno,7.4515,151.8468,83.35,77,91,13.38,FM,2023-10-30 21:14:37
27,Enewetak,11.3474,162.3373,83.43,79,100,22.08,MH,2023-10-30 21:14:37
28,Nemuro,43.3236,145.575,49.59,80,9,9.95,JP,2023-10-30 21:14:37
29,Tralee,52.2704,-9.7026,47.08,92,9,4.12,IE,2023-10-30 21:14:38
30,Chania,35.5122,24.0156,65.8,94,20,0.0,GR,2023-10-30 21:14:38
31,Ceiba,18.4463,-66.3507,84.11,88,100,7.38,PR,2023-10-30 21:14:38
32,Rongelap,11.1635,166.8941,83.1,79,100,23.53,MH,2023-10-30 21:14:38
33,Anadyr,64.75,177.4833,32.5,100,75,13.42,RU,2023-10-30 21:14:38
34,Sitka,57.0531,-135.33,48.09,81,75,8.05,US,2023-10-30 21:14:21
35,Phetchabun,16.25,101.0833,74.01,95,100,3.51,TH,2023-10-30 21:14:39
36,Ushuaia,-54.8,-68.3,40.66,65,75,21.0,AR,2023-10-30 21:14:39
37,Schlusselfeld,49.7667,10.6333,54.79,95,100,4.97,DE,2023-10-30 21:14:39
38,Kotel'Nikovo,47.6317,43.1461,50.0,69,51,7.96,RU,2023-10-30 21:14:39
39,East London,-33.0153,27.9116,58.89,80,73,12.8,ZA,2023-10-30 21:12:37
40,Kushtia,23.9011,89.1221,73.56,70,40,3.47,BD,2023-10-30 21:14:39
41,Chengde,40.9725,117.9361,48.76,78,8,1.52,CN,2023-10-30 21:12:47
42,Newman,37.3138,-121.0208,74.23,34,7,3.0,US,2023-10-30 21:14:40
43,Howard Springs,-12.497,131.047,78.71,91,76,6.64,AU,2023-10-30 21:14:40
44,Tsiombe,-25.3,45.4833,72.01,83,100,5.79,MG,2023-10-30 21:14:40
45,Port Moresby,-9.4431,147.1797,74.62,94,75,3.44,PG,2023-10-30 21:14:35
46,Niwai,26.35,75.9167,73.72,40,51,2.95,IN,2023-10-30 21:14:40
47,Port Mathurin,-19.6833,63.4167,76.44,81,10,18.14,MU,2023-10-30 21:14:40
48,Rabo De Peixe,37.8,-25.5833,63.91,99,40,6.91,PT,2023-10-30 21:14:41
49,Noshiro,40.2039,140.0242,49.53,85,6,3.85,JP,2023-10-30 21:14:41
50,Mujiayingzi,42.1167,118.7833,46.06,68,65,7.52,CN,2023-10-30 21:14:41
51,Ivankiv,50.9386,29.8943,53.11,70,38,7.18,UA,2023-10-30 21:14:41
52,Sanchursk,56.9413,47.2499,27.18,96,100,11.92,RU,2023-10-30 21:14:41
53,Punta Arenas,-53.15,-70.9167,44.71,57,0,13.8,CL,2023-10-30 21:14:41
54,Moussoro,13.6408,16.4901,88.14,12,3,11.39,TD,2023-10-30 21:14:18
55,Udachny,66.4167,112.4,-7.26,100,98,3.96,RU,2023-10-30 21:14:42
56,Hirara,24.8,125.2833,75.47,73,40,13.8,JP,2023-10-30 21:14:42
57,Sinabang,2.4803,96.3801,77.5,88,100,4.41,ID,2023-10-30 21:14:42
58,Qaqortoq,60.7167,-46.0333,42.35,61,100,21.99,GL,2023-10-30 21:10:37
59,Hasaki,35.7333,140.8333,55.29,62,2,5.59,JP,2023-10-30 21:12:59
60,Nizhniy Odes,63.6445,54.856,18.39,96,94,5.32,RU,2023-10-30 21:14:43
61,Island Harbour,50.724,-1.2758,49.98,94,70,6.53,GB,2023-10-30 21:14:43
62,Bikenibeu Village,1.3673,173.1241,80.56,89,100,4.61,KI,2023-10-30 21:14:43
63,Constantia,44.1833,28.65,57.88,72,0,7.27,RO,2023-10-30 21:14:43
64,San Rafael,-34.6177,-68.3301,61.88,20,2,10.0,AR,2023-10-30 21:14:43
65,Fomboni,-12.28,43.7425,80.19,77,98,3.2,KM,2023-10-30 21:14:43
66,Xiva,41.3783,60.3639,51.78,68,33,9.95,UZ,2023-10-30 21:14:43
67,Gadzhiyevo,69.2551,33.3362,21.4,91,100,17.65,RU,2023-10-30 21:14:43
68,Kendari,-3.945,122.4989,73.6,93,39,2.24,ID,2023-10-30 21:13:53
69,Agat Village,13.3886,144.6585,84.31,87,40,6.91,GU,2023-10-30 21:14:43
70,Vohibinany,-17.35,49.0333,73.53,85,100,2.04,MG,2023-10-30 21:14:44
71,Cornelio Procopio,-23.1811,-50.6467,75.15,80,59,2.75,BR,2023-10-30 21:14:44
72,Hermanus,-34.4187,19.2345,56.89,78,0,16.24,ZA,2023-10-30 21:12:20
73,St. John'S,47.5649,-52.7093,41.27,62,100,8.05,CA,2023-10-30 21:14:44
74,Champerico,14.3,-91.9167,82.85,76,100,12.44,GT,2023-10-30 21:10:45
75,Arraial Do Cabo,-22.9661,-42.0278,78.66,83,0,5.75,BR,2023-10-30 21:14:44
76,Uturoa,-16.7333,-151.4333,79.38,80,11,17.96,PF,2023-10-30 21:14:15
77,Sechura,-5.5569,-80.8222,79.38,58,46,16.6,PE,2023-10-30 21:14:44
78,Yerofey Pavlovich,53.9667,121.9667,16.39,59,100,1.3,RU,2023-10-30 21:14:44
79,Micheweni,-4.9667,39.8333,79.47,84,43,8.21,TZ,2023-10-30 21:14:45
80,Isafjordur,66.0755,-23.124,36.37,75,87,4.83,IS,2023-10-30 21:10:41
81,Pangody,65.85,74.4859,6.71,95,30,5.53,RU,2023-10-30 21:11:19
82,Shaumiani,41.3527,44.7618,60.62,56,57,3.18,GE,2023-10-30 21:14:45
83,Praia Da Vitoria,38.7333,-27.0667,65.75,77,20,8.46,PT,2023-10-30 21:14:45
84,Wailua Homesteads,22.0669,-159.378,81.39,71,20,9.22,US,2023-10-30 21:14:45
85,Dobrinka,52.1653,40.4731,52.83,74,84,17.07,RU,2023-10-30 21:14:45
86,Bosa,40.2993,8.4983,69.89,74,57,18.19,IT,2023-10-30 21:14:45
87,Fort St. John,56.2499,-120.8529,40.89,45,100,10.36,CA,2023-10-30 21:14:46
88,Margaret River,-33.95,115.0667,47.34,90,25,9.15,AU,2023-10-30 21:10:34
89,Horsham,51.064,-0.3272,50.25,100,100,1.14,GB,2023-10-30 21:14:46
90,Chirkey,42.9613,46.9787,59.38,71,0,5.97,RU,2023-10-30 21:14:47
91,West Island,-12.1568,96.8225,78.78,83,100,16.11,CC,2023-10-30 21:10:38
92,Vilyuchinsk,52.9306,158.4028,32.94,78,72,6.85,RU,2023-10-30 21:14:37
93,Larose,29.5724,-90.3818,75.02,72,36,15.43,US,2023-10-30 21:14:47
94,Kavaratti,10.5669,72.642,82.17,70,100,1.9,IN,2023-10-30 21:10:05
95,Utrik,11.2278,169.8474,82.49,81,100,21.32,MH,2023-10-30 21:11:39
96,Fort Mcmurray,56.7268,-111.381,31.51,47,0,9.22,CA,2023-10-30 21:14:48
97,Luneville,48.6,6.5,53.49,90,100,12.53,FR,2023-10-30 21:14:48
98,Vodnyy,63.5046,53.4095,21.42,99,90,2.33,RU,2023-10-30 21:14:48
99,Taybad,34.74,60.7756,66.02,39,95,21.65,IR,2023-10-30 21:14:48
100,Sisimiut,66.9395,-53.6735,28.44,65,100,3.83,GL,2023-10-30 21:11:37
101,Albany,42.6001,-73.9662,47.88,87,100,1.01,US,2023-10-30 21:14:04
102,Awjilah,29.1081,21.2869,72.99,50,98,7.56,LY,2023-10-30 21:14:49
103,Malanje,-9.5402,16.341,66.85,95,92,3.87,AO,2023-10-30 21:14:49
104,Bredasdorp,-34.5322,20.0403,58.33,74,0,20.51,ZA,2023-10-30 21:14:49
105,Pedernales,18.0384,-71.744,82.11,93,98,3.24,DO,2023-10-30 21:14:49
106,Pacocha,-17.5833,-71.3333,68.14,73,75,13.8,PE,2023-10-30 21:14:49
107,Tazovsky,67.4667,78.7,1.35,95,20,4.29,RU,2023-10-30 21:14:49
108,Saipan,15.1355,145.701,83.1,83,40,11.5,MP,2023-10-30 21:12:14
109,Kone,-21.0595,164.8658,72.1,63,95,4.36,NC,2023-10-30 21:14:50
110,Hawaiian Paradise Park,19.5933,-154.9731,81.03,88,75,8.05,US,2023-10-30 21:14:50
111,Papatowai,-46.5619,169.4708,55.09,72,100,4.09,NZ,2023-10-30 21:14:50
112,Port Lincoln,-34.7333,135.8667,54.66,63,89,12.3,AU,2023-10-30 21:14:50
113,Lichuan,30.3,108.85,50.41,85,71,1.41,CN,2023-10-30 21:14:50
114,Kulebaki,55.4133,42.5325,43.0,97,100,11.1,RU,2023-10-30 21:14:50
115,Salanso,12.1833,-4.0833,88.92,24,53,3.38,BF,2023-10-30 21:14:50
116,Lihue,21.9789,-159.3672,81.99,70,20,9.22,US,2023-10-30 21:14:50
117,Vadso,70.0744,29.7487,28.56,86,75,10.36,NO,2023-10-30 21:14:51
118,Semporna,4.4818,118.6112,75.02,96,100,2.28,MY,2023-10-30 21:14:51
119,Jamestown,42.097,-79.2353,44.19,97,100,17.27,US,2023-10-30 21:10:36
120,Juneau,58.3019,-134.4197,40.41,97,100,12.66,US,2023-10-30 21:14:51
121,San Pedro Pochutla,15.7333,-96.4667,89.31,67,58,5.1,MX,2023-10-30 21:12:46
122,Ceerigaabo,10.6162,47.368,63.37,69,19,7.54,SO,2023-10-30 21:14:51
123,Garachico,28.7781,-17.7646,71.71,73,40,1.14,ES,2023-10-30 21:14:51
124,Waingapu,-9.6567,120.2641,79.88,81,38,8.97,ID,2023-10-30 21:14:51
125,Darwin,-12.4611,130.8418,78.78,85,20,3.44,AU,2023-10-30 21:13:47
126,Khovd,48.0056,91.6419,41.2,56,100,6.13,MN,2023-10-30 21:14:52
127,Puerto Baquerizo Moreno,-0.9,-89.6,81.59,69,75,13.8,EC,2023-10-30 21:11:40
128,Natal,-5.795,-35.2094,79.45,69,0,10.36,BR,2023-10-30 21:12:45
129,Rio Grande,-32.035,-52.0986,68.11,92,100,11.86,BR,2023-10-30 21:11:11
130,Iqaluit,63.7506,-68.5145,9.7,72,100,18.99,CA,2023-10-30 21:10:22
131,Whitehorse,60.7161,-135.0538,36.01,93,100,6.91,CA,2023-10-30 21:14:53
132,Tokmok,42.8417,75.3016,62.38,42,95,1.66,KG,2023-10-30 21:14:54
133,La Passe,45.5549,-0.8967,57.97,80,50,24.05,FR,2023-10-30 21:14:54
134,Vorgashor,67.5833,63.95,10.13,88,100,8.25,RU,2023-10-30 21:14:54
135,Bilibino,68.0546,166.4372,13.28,53,57,5.86,RU,2023-10-30 21:14:54
136,Hithadhoo,-0.6,73.0833,80.04,82,9,10.76,MV,2023-10-30 21:14:54
137,Fristad,65.2,16.7167,7.32,99,77,2.39,SE,2023-10-30 21:14:55
138,Dakhla,23.6848,-15.958,69.82,94,3,9.22,EH,2023-10-30 21:14:55
139,Sovetskaya,44.7769,41.1722,54.48,68,2,8.79,RU,2023-10-30 21:14:55
140,New Norfolk,-42.7826,147.0587,49.5,89,63,6.38,AU,2023-10-30 21:11:38
141,Taksimo,56.3444,114.8794,9.48,68,16,3.91,RU,2023-10-30 21:14:55
142,Puerto Ayora,-0.7393,-90.3518,82.36,89,100,5.99,EC,2023-10-30 21:10:30
143,Cole Harbour,44.6724,-63.4751,38.71,94,100,10.36,CA,2023-10-30 21:14:56
144,Kribi,2.95,9.9167,79.7,89,93,7.72,CM,2023-10-30 21:14:56
145,Pirallahi,40.4723,50.333,55.54,75,34,5.61,AZ,2023-10-30 21:14:56
146,Tromso,69.6496,18.957,28.42,93,75,9.22,NO,2023-10-30 21:14:56
147,Iskateley,67.6803,53.1512,20.01,95,99,10.0,RU,2023-10-30 21:14:56
148,Sandnessjoen,66.0217,12.6316,28.51,86,20,4.61,NO,2023-10-30 21:14:50
149,Badger,64.8,-147.5333,34.36,87,100,0.0,US,2023-10-30 21:11:26
150,Flying Fish Cove,-10.4217,105.6791,78.48,88,100,8.05,CX,2023-10-30 21:11:53
151,Tra Vinh,9.9347,106.3453,76.93,92,100,3.74,VN,2023-10-30 21:14:56
152,Bezhetsk,57.7851,36.6965,31.77,97,100,3.13,RU,2023-10-30 21:14:57
153,Gariaband,20.635,82.0614,62.69,82,2,1.68,IN,2023-10-30 21:14:57
154,Lagunas,-5.2269,-75.6753,88.9,54,100,3.36,PE,2023-10-30 21:14:57
155,Haiku-Pauwela,20.9219,-156.3051,84.22,67,20,18.41,US,2023-10-30 21:12:34
156,Solnechnyy,50.7214,136.6319,33.03,69,25,1.61,RU,2023-10-30 21:14:57
157,Coquimbo,-29.9533,-71.3436,62.24,69,96,12.95,CL,2023-10-30 21:10:24
158,Castillos,-34.1667,-53.8333,56.26,93,100,13.6,UY,2023-10-30 21:14:58
159,Petropavlovsk-Kamchatsky,53.0452,158.6483,31.46,82,20,11.01,RU,2023-10-30 21:10:52
160,San Patricio,28.017,-97.5169,49.95,67,100,19.46,US,2023-10-30 21:14:58
161,Tres Arroyos,-38.3739,-60.2798,63.46,15,0,10.98,AR,2023-10-30 21:14:58
162,Thompson,55.7435,-97.8558,25.16,56,100,10.04,CA,2023-10-30 21:10:20
163,Lata,40.1629,-8.3327,54.91,92,100,3.38,PT,2023-10-30 21:11:26
164,Kuching,1.55,110.3333,75.42,100,20,2.3,MY,2023-10-30 21:14:59
165,Waddan,29.1614,16.139,73.94,33,100,7.18,LY,2023-10-30 21:14:59
166,Grants,35.1473,-107.8514,46.63,31,0,3.44,US,2023-10-30 21:12:30
167,Prainha,-1.8,-53.48,92.71,34,3,3.62,BR,2023-10-30 21:15:00
168,La Ronge,55.1001,-105.2842,21.45,53,75,10.36,CA,2023-10-30 21:15:00
169,Gizo,-8.103,156.8419,81.34,80,100,4.99,SB,2023-10-30 21:10:00
170,Lodja,-3.4833,23.4333,70.93,99,97,2.01,CD,2023-10-30 21:15:00
171,Walvis Bay,-22.9575,14.5053,58.6,84,11,7.47,NA,2023-10-30 21:10:35
172,Launceston,-41.45,147.1667,49.64,61,75,9.22,AU,2023-10-30 21:15:00
173,Tongouson,5.0214,120.1328,81.16,76,100,2.91,PH,2023-10-30 21:15:01
174,Hammerfest,70.6634,23.6821,34.25,86,40,8.05,NO,2023-10-30 21:15:01
175,Tarawa,1.419,172.984,80.69,89,100,4.61,KI,2023-10-30 21:15:01
176,Kailua-Kona,19.6406,-155.9956,86.59,66,20,8.05,US,2023-10-30 21:11:34
177,Vila Velha,-20.3297,-40.2925,78.94,81,0,17.27,BR,2023-10-30 21:15:02
178,Ternate,0.8,127.4,81.45,75,41,5.35,ID,2023-10-30 21:15:02
179,Narok,-1.0783,35.8601,58.59,86,14,5.95,KE,2023-10-30 21:15:03
180,Stanley,54.868,-1.6985,44.76,95,75,3.44,GB,2023-10-30 21:12:08
181,Fortuna,40.5982,-124.1573,67.12,57,0,9.22,US,2023-10-30 21:15:04
182,Lorengau,-2.0226,147.2712,78.01,87,100,7.16,PG,2023-10-30 21:15:05
183,Tibati,6.4667,12.6333,68.67,93,85,2.89,CM,2023-10-30 21:15:05
184,Nikolayevsk-On-Amure,53.1406,140.73,28.49,95,15,3.18,RU,2023-10-30 21:15:06
185,Lebu,-37.6167,-73.65,50.76,64,91,15.59,CL,2023-10-30 21:15:06
186,Tual,-5.6667,132.75,81.84,77,100,11.7,ID,2023-10-30 21:15:06
